alfabetizado,actualmente_estudia,nivel_educativo_alcanzado,nivel_educativo_aprobado,nivel_educativo_matriculado,nivel_educativo_en_curso,recibe_plantel_edu_alimentos,pensiones_modalidad_presencial,pensiones_modalidad_virtual,pensiones_modalidad_mixta,comunicacion_maestros_sp,educacion_sk
Sí,Sí,,,Básica secundaria (6 a 9),8.0,No,1.0,2.0,2.0,Sí,78
Sí,Sí,,,Postgrado,1.0,No,2.0,2.0,1.0,,79
Sí,Sí,,,Postgrado,4.0,,2.0,1.0,2.0,,80
Sí,Sí,,,Universitario,5.0,No,1.0,2.0,2.0,,81
No,Sí,,,Preescolar (1 a 3),1.0,No,1.0,2.0,2.0,Sí,82
Sí,Sí,,,Básica Primaria (1 a 5),3.0,No,1.0,2.0,2.0,Sí,83
No,Sí,,,Básica Primaria (1 a 5),1.0,Sí,1.0,2.0,2.0,Sí,84
Sí,No,Universitario sin título,Básica Primaria (1º - 5º),,,,,,,,85
Sí,Sí,,,Media (10 a 13),11.0,No,1.0,2.0,2.0,No,86
Sí,Sí,,,Básica Primaria (1 a 5),5.0,No,1.0,2.0,2.0,No,87
Sí,Sí,,,Preescolar (1 a 3),2.0,No,1.0,2.0,2.0,Sí,88
Sí,No,Universitario sin título,Técnico sin título,,,,,,,,89
Sí,Sí,,,Universitario,1.0,,2.0,1.0,2.0,,90
Sí,Sí,,,Universitario,2.0,,2.0,1.0,2.0,,91
Sí,No,Universitario sin título,Básica secundaria (6º--9º),,,,,,,,92
Sí,Sí,,,Postgrado,1.0,No,1.0,2.0,2.0,,93
Sí,No,Postgrado sin título,Media (10º--13º),,,,,,,,94
Sí,Sí,,,Universitario,5.0,No,2.0,2.0,1.0,,95
Sí,Sí,,,Básica secundaria (6 a 9),7.0,Sí,1.0,2.0,2.0,No,96
Sí,Sí,,,Básica Primaria (1 a 5),2.0,No,1.0,2.0,2.0,Sí,97
Sí,Sí,,,Media (10 a 13),12.0,No,1.0,2.0,2.0,Sí,98
Sí,Sí,,,Universitario,4.0,No,2.0,2.0,1.0,,99
Sí,No,Tecnológico con título,Básica secundaria (6º--9º),,,,,,,,100
Sí,Sí,,,Universitario,2.0,Sí,1.0,2.0,2.0,,101
Sí,Sí,,,Básica Primaria (1 a 5),2.0,No,1.0,2.0,2.0,No,102
Sí,Sí,,,Técnico,2.0,No,1.0,2.0,2.0,,103
Sí,Sí,,,Básica Primaria (1 a 5),1.0,Sí,1.0,2.0,2.0,No,104
Sí,No,Preescolar,Básica Primaria (1º - 5º),,,,,,,,105
Sí,Sí,,,Básica secundaria (6 a 9),6.0,Sí,1.0,2.0,2.0,No,106
Sí,Sí,,,Universitario,2.0,,2.0,2.0,2.0,,107
Sí,Sí,,,Básica Primaria (1 a 5),3.0,No,1.0,2.0,2.0,No,108
No,Sí,,,Preescolar (1 a 3),3.0,Sí,1.0,2.0,2.0,No,109
No,Sí,,,Preescolar (1 a 3),3.0,Sí,1.0,2.0,2.0,Sí,110
No,No,Preescolar,Ninguno,,,,,,,,111
Sí,Sí,,,Básica secundaria (6 a 9),7.0,,2.0,1.0,2.0,No,112
No,No,Básica Primaria (1º - 5º),Ninguno,,,,,,,,113
Sí,Sí,,,Media (10 a 13),11.0,Sí,2.0,2.0,1.0,Sí,114
Sí,Sí,,,Básica Primaria (1 a 5),3.0,Sí,1.0,2.0,2.0,No,115
Sí,Sí,,,Universitario,1.0,Sí,1.0,2.0,2.0,,116
Sí,Sí,,,Media (10 a 13),11.0,,2.0,1.0,2.0,Sí,117
No,Sí,,,Preescolar (1 a 3),2.0,Sí,1.0,2.0,2.0,Sí,118
Sí,No,Universitario sin título,Media (10º--13º),,,,,,,,119
Sí,Sí,,,Tecnológico,3.0,,2.0,1.0,2.0,,120
Sí,Sí,,,Tecnológico,1.0,No,1.0,2.0,2.0,,121
Sí,No,Técnico sin título,Básica Primaria (1º - 5º),,,,,,,,122
Sí,Sí,,,Básica Primaria (1 a 5),1.0,No,1.0,2.0,2.0,No,123
Sí,Sí,,,Preescolar (1 a 3),2.0,No,1.0,2.0,2.0,No,124
Sí,Sí,,,Tecnológico,1.0,No,2.0,2.0,1.0,,125
Sí,No,Postgrado con título,Básica Primaria (1º - 5º),,,,,,,,126
Sí,Sí,,,Universitario,4.0,Sí,1.0,2.0,2.0,,127
Sí,No,Preescolar,Ninguno,,,,,,,,128
Sí,Sí,,,Universitario,3.0,No,2.0,2.0,1.0,,129
No,No,Preescolar,Preescolar,,,,,,,,130
Sí,Sí,,,Universitario,3.0,Sí,1.0,2.0,2.0,,131
Sí,Sí,,,Técnico,3.0,No,1.0,2.0,2.0,,132
Sí,Sí,,,Básica Primaria (1 a 5),2.0,Sí,1.0,2.0,2.0,No,133
Sí,Sí,,,Preescolar (1 a 3),2.0,Sí,1.0,2.0,2.0,No,134
Sí,Sí,,,Universitario,6.0,No,2.0,2.0,1.0,,135
Sí,Sí,,,Básica secundaria (6 a 9),9.0,Sí,1.0,2.0,2.0,No,136
Sí,Sí,,,Preescolar (1 a 3),1.0,No,1.0,2.0,2.0,No,137
Sí,Sí,,,Universitario,2.0,No,2.0,2.0,1.0,,138
Sí,Sí,,,Postgrado,1.0,,2.0,1.0,2.0,,139
Sí,Sí,,,Preescolar (1 a 3),1.0,Sí,1.0,2.0,2.0,No,140
Sí,Sí,,,Universitario,4.0,,2.0,1.0,2.0,,141
Sí,Sí,,,Básica secundaria (6 a 9),9.0,No,1.0,2.0,2.0,No,142
Sí,Sí,,,Básica Primaria (1 a 5),4.0,Sí,1.0,2.0,2.0,No,143
Sí,Sí,,,Universitario,7.0,No,1.0,2.0,2.0,,144
Sí,Sí,,,Tecnológico,2.0,No,2.0,2.0,1.0,,145
Sí,Sí,,,Preescolar (1 a 3),3.0,No,1.0,2.0,2.0,Sí,146
No,Sí,,,Preescolar (1 a 3),3.0,No,1.0,2.0,2.0,Sí,147
Sí,Sí,,,Media (10 a 13),11.0,Sí,1.0,2.0,2.0,No,148
Sí,Sí,,,Básica Primaria (1 a 5),5.0,Sí,1.0,2.0,2.0,No,149
Sí,Sí,,,Básica Primaria (1 a 5),5.0,Sí,2.0,2.0,1.0,Sí,150
No,Sí,,,Básica Primaria (1 a 5),1.0,No,1.0,2.0,2.0,Sí,151
Sí,Sí,,,Básica secundaria (6 a 9),8.0,,2.0,1.0,2.0,Sí,152
No,No,Básica Primaria (1º - 5º),Básica Primaria (1º - 5º),,,,,,,,153
Sí,Sí,,,Postgrado,5.0,,2.0,1.0,2.0,,154
Sí,Sí,,,Básica secundaria (6 a 9),7.0,,2.0,2.0,2.0,No,155
Sí,Sí,,,Básica secundaria (6 a 9),8.0,No,2.0,2.0,1.0,Sí,156
Sí,Sí,,,Básica Primaria (1 a 5),4.0,No,1.0,2.0,2.0,No,157
No,Sí,,,Básica Primaria (1 a 5),1.0,No,1.0,2.0,2.0,No,158
Sí,No,Postgrado sin título,Preescolar,,,,,,,,159
Sí,Sí,,,Postgrado,2.0,,2.0,1.0,2.0,,160
No,Sí,,,Básica Primaria (1 a 5),2.0,No,1.0,2.0,2.0,Sí,161
Sí,Sí,,,Postgrado,2.0,No,1.0,2.0,2.0,,162
Sí,No,Postgrado con título,Básica secundaria (6º--9º),,,,,,,,163
Sí,Sí,,,Tecnológico,4.0,No,1.0,2.0,2.0,,164
Sí,Sí,,,Técnico,1.0,No,2.0,2.0,1.0,,165
Sí,Sí,,,Tecnológico,3.0,No,1.0,2.0,2.0,,166
Sí,Sí,,,Tecnológico,1.0,,2.0,1.0,2.0,,167
Sí,Sí,,,Técnico,2.0,,2.0,1.0,2.0,,168
Sí,Sí,,,Media (10 a 13),11.0,No,2.0,2.0,1.0,No,169
Sí,No,Tecnológico sin título,Básica Primaria (1º - 5º),,,,,,,,170
No,Sí,,,Básica Primaria (1 a 5),2.0,No,1.0,2.0,2.0,No,171
No,Sí,,,Preescolar (1 a 3),2.0,No,1.0,2.0,2.0,Sí,172
Sí,Sí,,,Preescolar (1 a 3),3.0,Sí,1.0,2.0,2.0,No,173
No,No,Preescolar,Básica Primaria (1º - 5º),,,,,,,,174
No,Sí,,,Básica Primaria (1 a 5),2.0,Sí,1.0,2.0,2.0,Sí,175
Sí,Sí,,,Media (10 a 13),10.0,,2.0,2.0,2.0,Sí,176
No,Sí,,,Preescolar (1 a 3),3.0,No,1.0,2.0,2.0,No,177
Sí,No,Tecnológico sin título,Básica secundaria (6º--9º),,,,,,,,178
Sí,Sí,,,Tecnológico,3.0,No,2.0,2.0,1.0,,179
Sí,Sí,,,Preescolar (1 a 3),3.0,No,1.0,2.0,2.0,No,180
Sí,Sí,,,Media (10 a 13),13.0,No,1.0,2.0,2.0,Sí,181
Sí,Sí,,,Postgrado,2.0,No,2.0,2.0,1.0,,182
Sí,No,Preescolar,Preescolar,,,,,,,,183
Sí,Sí,,,Básica secundaria (6 a 9),7.0,,2.0,1.0,2.0,Sí,184
No,Sí,,,Preescolar (1 a 3),2.0,Sí,1.0,2.0,2.0,No,185
No,Sí,,,Básica Primaria (1 a 5),3.0,Sí,1.0,2.0,2.0,No,186
Sí,No,Tecnológico sin título,Preescolar,,,,,,,,187
Sí,Sí,,,Preescolar (1 a 3),2.0,Sí,1.0,2.0,2.0,Sí,188
Sí,Sí,,,Postgrado,5.0,No,1.0,2.0,2.0,,189
