actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,No,CONFECCION DE ROPA INTERIOR,82
Trabajando,,,,,Sí,SERVICIOS DE LOGISTICA Y ENVIO DE PAQUETERIA,83
Trabajando,,,,,Sí,ENSAMBLE DE MOTOS Y FABRICACION DE  PARTES,84
Oficios del hogar,Sí,,,,No,COMERCIO DE COPIAS E IMPRESIONES Y HELADOS,85
Trabajando,,,,,No,SERVICIOS AGRICOLAS A DIFERENTES CULTIVOS,86
Trabajando,,,,,No,CONSTRUCCION Y REMODELACION DE CASAS Y APARTAMENTOS,87
Incapacitado permanentemente para trabajar,,,,,Ya es pensionado,None,88
Trabajando,,,,,No,CRIA CEBA Y LEVANTE DE GANADO VACUNO,89
Trabajando,,,,,Sí,EDUCACION BASICA PRIMARIA SECUNDARIA Y MEDIA,90
Trabajando,,,,,No,FRABICA DE ROPA,91
Trabajando,,,,,Sí,ENFERMERA,92
Trabajando,,,,,Sí,TRANSPORTAR PERSONAS,93
Trabajando,,,,,Sí,CRIA DE GANADO VACUNO PARA LA PRODUCCION DE LECHE,94
Trabajando,,,,,No,CRIA DE GANADO VACUNO PARA LA PRODUCCION DE LECHE,95
Trabajando,,,,,No,PRODUCCION Y CULTIVO DE PLATANO Y YUCA,96
Trabajando,,,,,Sí,CAJA Y VENTAS,97
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS Y ARREGLO DE CERCOS,98
Trabajando,,,,,No,PRODUCCION DE LECHE DE GANADO VACUNO,99
Oficios del hogar,Sí,,,,No,VENTA Y PREPARACION DE COMIDA RAPIDA CON SERVICIO A LA MESA,100
Trabajando,,,,,Sí,SERVICIOS DE MEDICOS EN REHABILITACION Y SALUD MENTAL,101
Trabajando,,,,,No,PRODUCCION DE YUCA,102
Trabajando,,,,,No,CONSTRUCCION DE VIVIENDAS,103
Oficios del hogar,Sí,,,,No,SERVICIO DE BARRER TRAPEAR HACER DE COMER,104
Trabajando,,,,,Sí,CONSTRUCCION Y VENTA DE VIVIENDAS EN PROPIEDAD HORIZONTAL,105
Oficios del hogar,Sí,,,,No,SERVICIO A LA MESA DE ASADOS AL CARBON Y COMIDAS RAPIDAS,106
Trabajando,,,,,No,SERVICIO DE LABORES DOMESTICAS EN HOGARES,107
Trabajando,,,,,No,VENTA DE BEBIDAS ALCOHOLICAS AL POR MENOR Y DE DISTRACION,108
Trabajando,,,,,No,SERVICIOS DE ASESORIAS DE CRIANZA DE ANIMALES DE GRANJA PARA EL CONSUMO HUMANO,109
Trabajando,,,,,Sí,AEROLINEA VIAJES INTERNACIONALES,110
Otra actividad ¿cuál?,No,No,No,,Ya es pensionado,None,111
Otra actividad ¿cuál?,No,Sí,,,No,COMPRA Y VENTA DE LENCERIA,112
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS CON MAQUINA GUADANADORA,113
Trabajando,,,,,No,CRIA LEVANTE Y VENTA DE AVES DE CORRAL,114
Trabajando,,,,,No,SERVICIO DE TRANSPORTE    INFORMAL DE PASAJEROS,115
Trabajando,,,,,No,VENTA TINTOS AMBULANTE,116
Trabajando,,,,,Sí,OBRAS DE  INFRAESTRUTURA EN  INGENIERIA CIVIL,117
Trabajando,,,,,No,PRODUCCION AGRICOLA DE CANA DE AZUCAR Y YUCA,118
Oficios del hogar,Sí,,,,No,CRIA Y LEVANTE DE GANADO VACUNO,119
Trabajando,,,,,Sí,SOPORTE EN SISTEMAS DE INFORMACION,120
Trabajando,,,,,Sí,GESTOR AMBIENTAL,121
Trabajando,,,,,No,CRIA Y LEVANTE SE AVES DE CORRAL,122
Trabajando,,,,,No,SOLDADOR EN ORNAMENTACION,123
Trabajando,,,,,No,VENDER TINTO,124
Trabajando,,,,,No,PREPARAR CAFE PARA VENTA,125
Oficios del hogar,Sí,,,,No,SERVICIO DEL HOGAR,126
Trabajando,,,,,No,VENTA POR MENOR DE INSUMOS Y ALIMENTOS,127
Trabajando,,,,,No,VENTA DE ROPA Y ZAPATOS AL POR MAYOR Y DETAL,128
Trabajando,,,,,Sí,VENTA AL POR MENOR DE GRANOS Y ABARROTES,129
