actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Oficios del hogar,Sí,,,,No,SERVICIO DE ASEO POR DIAS,5284
Trabajando,,,,,No,EVENTOS SOCIALES,5285
Oficios del hogar,Sí,,,,No,CULTIVAR PLANTAS PARA LA VENTA,5286
Trabajando,,,,,No,SERVICIO DE RECOLECCION DE CAFE FRUTA GUADANAR DESHIERBAR FUMIGAR,5287
Oficios del hogar,Sí,,,,No,SERVICIOS DE LIMPIEZA Y DESINFECCION DE VIVIENDAS,5288
Trabajando,,,,,Sí,SERVICIO DE ALOJAMIENTO Y RESTAURANTE,5289
Trabajando,,,,,No,HACER ASEO EN DIFERENTES VIVIENDAS,5290
Trabajando,,,,,No,TRANSPORTE DE PASAJEROS POR CARRETERA,5291
Trabajando,,,,,No,FI GANADERA DOBLE PROPOSITO LECHE Y CARNE,5292
Trabajando,,,,,No,TRABAJA EN ACTIVIDADES DE VAQUERIA Y OTROS OFICIOS AGROPECUARIOS COMO LIMPIA DE POTREROS Y CULTIVOS CON GUADANA O MACHETE,5293
Trabajando,,,,,Sí,COMPRA Y VENTA DE ROPA PARA DAMAS CABALLEROS Y NINOS AL POR MENOR,5294
Otra actividad ¿cuál?,No,Sí,,,Sí,COMPRA Y VENTA DE ROPA PARA DAMAS CABALLEROS Y NINOS AL POR MENOR,5295
Trabajando,,,,,No,VENTA DE COMIDAS  Y BEBIDAS,5296
Trabajando,,,,,No,SERVICIO DE TRANSPORTE ACUATICO,5297
Trabajando,,,,,No,RECOLECCION Y TRATAMIENTO DE AGUA POTABLE PARA LA VENTA,5298
Trabajando,,,,,Sí,JUEGOS DE AZAR Y APUESTAS,5299
Trabajando,,,,,No,ELABORACION Y VENTA AL POR MENOR DE COMIDAS RAPIDAS,5300
Trabajando,,,,,Sí,ATENCION Y CUIDADO DE ADULTOS MAYORES,5301
Trabajando,,,,,No,ELABORACION  Y VENTA AL POR MAYOR DE GALLETAS DE LIMON,5302
Trabajando,,,,,Sí,ADMINISTRACION DE JUSTICIA,5303
Trabajando,,,,,Sí,NEGOCICIONES DE ACUERDOS SANITARIO Y FITOSANITARIOS QUE PERMITEN LA COMERCIALIZACION DE LOS PRODUCTOS AGROPECUARIOS,5304
Trabajando,,,,,Sí,FABRICACION DE AZUCAR,5305
Trabajando,,,,,No,RECIBIR Y DESPACHAR MATERIALES Y LA PRODUCCION  DE LA FINCA,5306
Oficios del hogar,Sí,,,,No,ARREGLAR  UNAS A DOMICILIO,5307
Trabajando,,,,,No,VENTA AL POR MENOR DE ROPA EN GENERAL,5308
Trabajando,,,,,No,VENTA AL POR MAYOR  DE CARNES FRIAS TIENDA A TIENDA,5309
Oficios del hogar,Sí,,,,No,ELABORACION Y VENTA AL POR MENOR DE POSTRES POR ENCARGO,5310
Trabajando,,,,,No,GANADERIA CEBA DE GANADO Y ORDENO,5311
Trabajando,,,,,No,PRESTAR SERVICIOS DE RECREACION PARA NINOS Y NINAS,5312
Oficios del hogar,Sí,,,,No,VENTA AMBULANTE DE TINTOS,5313
Trabajando,,,,,No,VENDE Y COMERCIALIZA YUCA NAME MAIZ,5314
Trabajando,,,,,Sí,EVENTOS EMPRESARIALES MUNDO DEL ENTRETENIMIENTO,5315
Trabajando,,,,,Sí,BIENES RAICES,5316
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE CERCAS Y POTREROS CON GUADANA BOMBA DE ESPALDA Y MACHETA,5317
Trabajando,,,,,No,GANADERIA CEBA Y ORDENO E GANADO SIEMBRA DE PLATANO,5318
Trabajando,,,,,No,ELABORACION Y VENTA DE PAN Y BEBIDAS AZUCARADAS Y NO ALCOHOLICAS,5319
Trabajando,,,,,Sí,ATENCION EN MEDICINA GENERAL,5320
Trabajando,,,,,Sí,COMERCIALIZACION DE ESTAMPADOS,5321
Trabajando,,,,,No,AEROLINEA DE TRANSPORTE DE CARGA,5322
Trabajando,,,,,No,ADMINISTRAR Y SERVIR COMO INTERMEDIARIO ENTRE LA NACION Y LOS MUNICIPIOS Y GARANTIZAR LA PRESTACION ADECUADA,5323
Trabajando,,,,,Sí,SEGURIDAD PUBLICA,5324
Trabajando,,,,,Sí,SEDURIDAD PUBLICA,5325
Trabajando,,,,,Sí,TRAMITES CONSULARES,5326
Trabajando,,,,,No,VENTA Y COMERCIALIZACION DE YUCA,5327
Trabajando,,,,,Sí,PRODUCIR ELECTRICIDAD,5328
Trabajando,,,,,No,VENTA DE COMIDAS RAPIDAS Y HELADERIA,5329
Trabajando,,,,,No,VENDER COMIDA A LAS PERSONAS,5330
Trabajando,,,,,Sí,MAQUILLADORA Y ESTETICISTA,5331
Trabajando,,,,,Sí,SERVICIOS DE SALUD DOMICILIARIOS,5332
Trabajando,,,,,No,ASEO DE LAS CASAS,5333
Trabajando,,,,,No,ASEAR,5334
Trabajando,,,,,Sí,TRANSPORTE INTERMUNICIPAL DE PASAJEROS EN TAXIS,5335
Trabajando,,,,,No,RECOLECTAR Y VENTA DE CAFE,5336
Trabajando,,,,,No,RECOLECTAR Y VENDER CAFE,5337
Trabajando,,,,,No,INSTALACION Y FACTURACION DE PERSIANAS EN CUALQUIER SITIO,5338
Trabajando,,,,,Sí,ENSENANZA DE TODAS LAS AREAS FUNDAMENTALES EN LA BASICA PRIMARIA,5339
Trabajando,,,,,No,TRANSPORTE DE PRODUCTOS TIPO FRUTA,5340
Oficios del hogar,Sí,,,,No,VENDE PRODUCTOS DE LA CANASTA BASICA TIENDA DE BARRIO PEQUENA,5341
Trabajando,,,,,Sí,SERVICIO DE VIGILANCIA PRIVADA DEL MUELLE FLUVIAL DE LETICIA,5342
Trabajando,,,,,No,VENTA AL POR MENOR DE PAQUETES GASEOSAS ELABORACION DE ALIMENTOS CON O SIN SERVICIO A LA MESA,5343
Trabajando,,,,,No,ATENDER AL PUBLICO EN VENTA DE MECATO CERVEZA GASEOSA,5344
Trabajando,,,,,No,VENTA DE LECHE Y GANADO BOVINO,5345
Trabajando,,,,,No,COMERCIO ARTICULOS PARA EL HOGAR,5346
Trabajando,,,,,No,FINCA GANADERA DE CRIA DE GANADO BOVINO PARA LA VENTA,5347
Oficios del hogar,No,Sí,,,No,VENDEDOR MOSTRADOR TIENDA,5348
Trabajando,,,,,No,VENTA DE PRODUCTOS DERIVADOS DEL MAIZ,5349
Trabajando,,,,,No,FINCA PECUARIA CRIA Y LEVANTE DE GANADO BOVINO,5350
Trabajando,,,,,No,PRODUCCION Y VENTA DE QUESO Y HUEVOS DE GALLINA,5351
Trabajando,,,,,No,RECOGEDOR DE PLASTICO RECICLADOR,5352
Trabajando,,,,,No,SERVICIO DE CARGUE Y DESCARGUE DE BULTOS,5353
Trabajando,,,,,No,CULTIVO DE CANA DE AZUCAR Y PROCESAMIENTO,5354
Trabajando,,,,,No,VENTA DE ROPA PARA DAMA AL DETAL,5355
Trabajando,,,,,No,VENTA DE PASTELERIA DESAYUNOS ALMUERZO TINTO,5356
Trabajando,,,,,Sí,ACTIVIDADES DE PROMOCION Y PREVENCION DE SALUD,5357
Trabajando,,,,,Sí,REPARAR IMPRESORAS Y COMPUTADORES,5358
Oficios del hogar,Sí,,,,No,VENTA AL POR MENOR DE UTILES ESCOLARES EN SU VIVIENDA,5359
Trabajando,,,,,No,DESCANSO FAMILIAR,5360
Trabajando,,,,,No,VENTA DE BOLIS DE FRUTAS,5361
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS DE SALUD A LOS USUARIOS,5362
Trabajando,,,,,No,TEJIDO CON MATERIAL DE SUNCHO PARA SILLAS MECEDORAS,5363
Trabajando,,,,,Sí,REPRESENTAR A PERSONAS O A EMPRESAS EN UN JUICIO,5364
Trabajando,,,,,No,VENTA DE MARISCO VENDEDOR AMBUELANTE,5365
Trabajando,,,,,No,TRANSPORTE TERRESTRE,5366
Trabajando,,,,,No,CULTIVA SIEMBRA PLATANO YUCA JORNALERO,5367
Trabajando,,,,,No,VENDER SUS PRUDUCTOS POR MEDIO DE CATALOGOS,5368
Trabajando,,,,,Sí,VIGILAR DE MANERA DIURNA O NOCTURNA UNA EMPRESA,5369
Trabajando,,,,,Sí,CONSEJOS PSICOLOGICOS A PACIENTES CON PROBELMAS,5370
Trabajando,,,,,No,REPARACION DE COMPUTADORES EN UN LOCAL FIJO,5371
Trabajando,,,,,No,LAVAR MOTOS,5372
Trabajando,,,,,No,SERVICIOS DE LAVADO DE ROPA Y CHANCHADO A HOGARES,5373
Oficios del hogar,No,Sí,,,No,PINTURA Y LATONERIA AUTOMOTRIZ,5374
Trabajando,,,,,No,SERVICIO DE AGRICULTURA A CULTIVO DE CANA,5375
Trabajando,,,,,No,4921TRANSPORTE DE PASAJEROS,5376
Trabajando,,,,,Sí,CULTIVO DE BANANO VERDE,5377
Trabajando,,,,,No,SIEMBRA CUIDA COSECHA RECOGE CANA DE AZUCAR,5378
Trabajando,,,,,No,LIJAR Y PINTAR VEHICULOS USADOS,5379
Trabajando,,,,,Sí,EJECUTAR EL MANTENIMIENTO Y CONSTUCCION DE OBRAS CIVILES,5380
Trabajando,,,,,Sí,COMERCIALIZACION DE MATERIALES DE FERRETERIA AL POR MENOR,5381
Trabajando,,,,,No,TRANSPORTE  URBANO DE PASAJEROS EN MOTO,5382
Trabajando,,,,,No,ELABORACION DE ZAPATOS,5383
Trabajando,,,,,No,ACTIVIDAD DE RECREACION,5384
Trabajando,,,,,No,LADRILLOS CONSTRUYE LAS PAREDES INTERIORES O EXTERIORES DE LOS EDIFICIOS,5385
Trabajando,,,,,No,LADRILLOS COSTRUYE LAS PAREDES INTERIORES Y EXTERIORES DE LOS EDIFICIOS,5386
Trabajando,,,,,Sí,SERVICIOS SOCIALES CON ALOJAMIENTO,5387
Trabajando,,,,,No,CONTRUCCION DE CASAS NUEVAS PARA USO RESIDENCIAL,5388
Trabajando,,,,,No,ELABORACION Y VENTA DE PASTELES AL MENOR DETAL,5389
Trabajando,,,,,No,VENTA DE LOTERIA PAGO DE SERVICIOS PUBLICOS  GIROS DE DINERO A DIFERENTES LUGARES NACIONALES,5390
Trabajando,,,,,No,EMPRESA DEDICADA A RED DE SERVICIOS APUESTAS GIROS PAGOS DE SERVICIOS PUBLICOS Y LOTERIAS,5391
Trabajando,,,,,No,MECANICO REPARACION Y MANTENIMIENTO DE MOTOS,5392
Oficios del hogar,No,Sí,,,No,SERVICIO DE PELUQUERIA Y PEINADOS,5393
Trabajando,,,,,Sí,BRINDA SERVICIOS DE SEGURIDAD Y ESCOLTAS,5394
Trabajando,,,,,Sí,CONSTRUCCION DE OBRAS DE INGENIERA ELECTRICA MECANICA Y CIVIL,5395
Trabajando,,,,,No,FUMIGAR CON BOMBA DE ESPALDA,5396
Trabajando,,,,,No,CRIA ESPECIALIZADA DE GANADO BOVINO,5397
Trabajando,,,,,No,CRIA ESPECIALIZADA DE GANADO,5398
Estudiando,Sí,,,,,CRIA ESPECIALIZADA DE GANADO BOVINO,5399
Trabajando,,,,,Sí,OPTIMIZACION DE REDES DE AGUEDUDTOS,5400
Trabajando,,,,,No,PISCICULTURA,5401
Oficios del hogar,Sí,,,,No,1551ELABORACION DE PRODUCTOS DE PANADERIA,5402
Trabajando,,,,,No,COSECHA DE LULO A VARIAS FINCAS,5403
Trabajando,,,,,Sí,MANEJAR LOS INFORMES CONTABLES DE LAS DIFERENTES EMPRESAS,5404
Oficios del hogar,No,Sí,,,No,COMPRA Y VENTA DE ABARROTES AL POR MENOR,5405
Trabajando,,,,,No,CARGUE Y DESCARGUE PRODUCTOS DEL MERCADO,5406
Trabajando,,,,,No,SE DEDICA AL REBUSQUE DIARIO,5407
Trabajando,,,,,Sí,ADMINISTRAR LOS RECURSOS PUBLICO DEL DEPARTAMENTO,5408
Trabajando,,,,,No,SIEMBRA Y COSECHA DE CULTIVOS DE CACAO,5409
Trabajando,,,,,No,PRESTA EL SERVICIO CORTES DE PASTO A RAS DE TIERRA CON GUADANA REALIZA MEJORAS EN LOS CERCADOS EN EL AREA RURAL,5410
Trabajando,,,,,No,TRANSPORTE DE PASAJEROS EN VEHICULO UBER,5411
Trabajando,,,,,No,VENTA DE POLLO PESCADO Y CARNE DE RES,5412
Trabajando,,,,,No,SERVICIO DE CORTE DE CABELLO DE PARA CABALLEROS Y NINOS,5413
Trabajando,,,,,No,COMERCIO AL POR MENOR DE MATERIALES PARA LA CONSTRUCCION,5414
Estudiando,Sí,,,,No,FABRICACION DE BLOQUES DE CEMENTO,5415
Oficios del hogar,Sí,,,,No,ELABORACION Y VENTA AL POR MENOR DE BOLIS CON LECHE Y SABORIZANTES,5416
Buscando trabajo,Sí,,,,No,FABRICACION DE BLOQUES DE CEMENTO Y ARENA,5417
Trabajando,,,,,No,SERVICIO DE PREPARACION  DE ALIMENTOS A LA CARTA ENSENAR A CLIENTES EL MENU DEL DIA SERVICIO A LA MESA,5418
Trabajando,,,,,No,SERVICIOS DE CARPINTERIA,5419
Trabajando,,,,,No,LIMPIAR CULTIVOS DE YUCA Y CAFE,5420
Trabajando,,,,,No,TRANSPORTE PASAJEROS EN MOTO,5421
Oficios del hogar,Sí,,,,No,VENTA AL POR MENOR DE  QUESO SUERO COSTENO Y HUEVO,5422
Trabajando,,,,,No,VRNTA AL POR MENOR DE PLATANO Y YUCA,5423
Trabajando,,,,,No,CULTIVO LIMPIEZA Y VENTA DE CACAO,5424
Trabajando,,,,,No,OBRA NEGRA Y BLANCA,5425
Trabajando,,,,,No,COMERCIO COMPRA Y VENTA AL POR MENOR DE VIVERES Y ABARROTES,5426
Oficios del hogar,No,Sí,,,No,SERVICIO DE LAVADO DE ROPA A PARTICULARES,5427
Trabajando,,,,,No,EDUCACION DE PRIMERA INFANCIA,5428
Trabajando,,,,,No,EDUCACION PRESCOLAR PRIMARIA SECUNDARIA Y MEDIA,5429
Trabajando,,,,,No,TRANSPORTE DE GANADO VACUNO A PIE DE UNA FINCA A OTRA,5430
Trabajando,,,,,No,GANADERIA CEBA Y ORDENO DE GANADO SEIMBRA DE YUCA PLATANO MAIZ,5431
Trabajando,,,,,No,PRESTAR SERVICIOS DE MANTENIMIENTO AUTOMOTRIZ,5432
Trabajando,,,,,No,RECICLADORA,5433
Trabajando,,,,,No,SERVICIO DE CORTE DE BANANO EN FINCAS POR DIAS,5434
Trabajando,,,,,Sí,REPRESENTAR Y ASESORAR EN PROCESOS JURIDICOS,5435
Trabajando,,,,,Sí,PRODUCCION DE CAFE Y PLATANO,5436
Trabajando,,,,,No,ELABORACION  Y VENTA AL POR MENOR DE AREPAS DE MAIZ EN PUESTO MOVIL,5437
Oficios del hogar,Sí,,,,No,TRANSPORTE RURAL DE PASAJEROS EN CANOA CON MOTOR,5438
Oficios del hogar,Sí,,,,No,PRESTAR SERVICIOS DE ALOJAMIENTO,5439
Estudiando,Sí,,,,No,PRESTAR SERVICIOS DE ALOJAMIENTO,5440
Trabajando,,,,,No,FI DOBLE PROPOSITO LECHE Y CARNE,5441
Oficios del hogar,Sí,,,,No,ASEAR OTRAS VIVIENDAS,5442
Trabajando,,,,,No,PREPARACION Y VENTA DE COMIDAS SERVIDAS A LA MESA,5443
Trabajando,,,,,No,VENTA DE PRODUCTOS BIODEGRADABLES DE LIMPIEZA Y DESINFECCION,5444
Trabajando,,,,,Sí,EMPRESA DE SEGURIDAD Y VIGILANCIA,5445
Trabajando,,,,,No,COMERCIO VIVERES AL POR MENOR,5446
Trabajando,,,,,No,ACTIVIDADEA MUSICALES,5447
Trabajando,,,,,Sí,A LA VENTA Y EXPENDIO DE MEDICAMENTOS,5448
Trabajando,,,,,Sí,A LA ELABORACION Y VENTA DE DEDITOS EMPANADITAS,5449
Trabajando,,,,,Sí,PROCESA EL METAL,5450
Trabajando,,,,,No,SERVICIO DE ASEO GENERAL A VIVIENDAS POR DIAS,5451
Trabajando,,,,,Sí,OFRECE SERVICIOS FUNERARIOS Y SEGUROS DE DECESOS,5452
Trabajando,,,,,Sí,COMERCIALIZACION AL POR MAYOR Y AL DETAL DE PRODUCTOS COMESTIBLES Y BEBIDAS AZUCARADAS ALCOHOLICAS Y NO ALCOHOLICAS,5453
Trabajando,,,,,No,SERVICIO DE OFICIOS VARIOS EN FINCAS,5454
Trabajando,,,,,No,DESHIERBAR POTREROS Y CULTIVOS CON MACHETE,5455
Trabajando,,,,,Sí,SERVICIO TECNICO DE REPARACION DE NEVERAS Y LAVADORAS A DOMICILIO,5456
Trabajando,,,,,No,SERVICIOS E CORTE DE MADERA Y ENVIO A SITIO DE ENCARGO,5457
Trabajando,,,,,No,SERVICIO DE PREPARACION Y EXPENDIO DE ALIMENTOS A LA CARTA Y MENU DEL DIA PARA CONSO INMEDIATO MEIANTECEL SERVICIO A LA MESA,5458
Trabajando,,,,,No,EMPRESAS O COMERCIALIZADORA  DE PRODUCTOS DE GASEOSAS POOL,5459
Trabajando,,,,,No,COMERCIALIZADORA DE PRODUCTOS DE GASEOSAS,5460
Trabajando,,,,,Sí,SUMINISTRO DE COMBUSTIBLES AL PUBLICO,5461
Trabajando,,,,,No,PESCA ARTESANAL CON TRASMALLO EN CIENAGA,5462
Trabajando,,,,,No,A LA VENTA DE FRUTAS,5463
Trabajando,,,,,No,CULTIVOS DE CAFE MAIZ PLATANO Y FRIJOL,5464
Trabajando,,,,,Sí,PRODUCCION DE PRODUCTOS DE PANADERIA,5465
Trabajando,,,,,Sí,RESTAURANTE BAR,5466
Trabajando,,,,,No,TRANSPORTAR PERSONAS EN UN VEHICULO DE MOTOCARRO,5467
Trabajando,,,,,Sí,CULTIVO DE AGUACATE Y PLATANO,5468
Trabajando,,,,,No,ACTIVIDAD DE RECRECION,5469
Trabajando,,,,,Sí,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES,5470
Trabajando,,,,,No,ARREGLO DE CALZADOS,5471
Trabajando,,,,,No,FINCA GANADERA CRIA DE GANADO BOVINO PARA DOBLE PROPOSITO CRIA Y CEBA,5472
Oficios del hogar,No,No,Sí,,No,CRIA NO ESPECIALIZADA DE AVES DE CORRAL,5473
Trabajando,,,,,No,ADMINISTRA LA COMPRA Y VENTA DE BIENES Y SERVICIOS,5474
Trabajando,,,,,No,CONSTRUCCION  DE EDIFICACIONES PARA USO RESIDENCIAL,5475
Trabajando,,,,,No,SERVICIOS MEDICOS DE URGENCIA,5476
Trabajando,,,,,Sí,EMPRESA PROMOTORA DE SALUD,5477
Trabajando,,,,,No,MOTOTAXISTA TRANSPORTE DE PERSONAS A SU DESTINO,5478
Trabajando,,,,,No,EVENTOS FIESTAS REUNIONES,5479
Trabajando,,,,,No,ORGANIZAR EVENTOS REUNIONES CEREMONIAS,5480
Trabajando,,,,,No,PRODUCCION DE LECHE GANADO VACUNO,5481
Trabajando,,,,,No,VENTAS AL POR MENOR DE PRENDAS DE VESTIR,5482
Trabajando,,,,,No,SACRIFICIO DE GANADO EN EL AREA RURAL DE CALAMAR,5483
Trabajando,,,,,No,SEMBRAR  Y VENDER NAME MAIZ YUCA,5484
Trabajando,,,,,No,TRANSPORTE PUBLICO INFORMAL DE PASAJEROS EN MOTO,5485
Trabajando,,,,,No,SIEMBRA DE CULTIVO DE CAFE,5486
Trabajando,,,,,No,COMPRA Y VENTA DE PRODUCTOS PARA MASCOTAS,5487
Trabajando,,,,,Sí,COMPRA Y VENTA DE ROPA PARA DAMA Y CABALLEROS,5488
Trabajando,,,,,No,COMERCIO AL POR MENOR DE PRODUCTOS DE PANADERIA,5489
Trabajando,,,,,No,VENTA DE CARCASAS   VIDRIOS Y CELULARES,5490
Otra actividad ¿cuál?,Sí,,,,No,COONSTRUCCION DE VIVIENDAS,5491
Trabajando,,,,,No,VENTA DE PRODUCTOS PARA EL HOGAR Y USO PERSONAL,5492
Trabajando,,,,,No,SERVICIO DE INTERNET POR CABLE,5493
Trabajando,,,,,Sí,MARKETING VENTAS Y GESTION HUMANA,5494
Trabajando,,,,,No,A LA CRIA DE AVES DE CORRAL,5495
Buscando trabajo,Sí,,,,No,REALIZAR VIAJES,5496
Trabajando,,,,,Sí,ESTUDIOS DE EDUCACION SUPERIOR,5497
Trabajando,,,,,No,FABRICA Y VENTA DE  ZAPATO DEPORTIVO AL MAYOR  Y MENOR,5498
Buscando trabajo,Sí,,,,No,CONSTRUCCION DE CASAS Y ALBANINERIA DE CASAS,5499
Trabajando,,,,,No,TRANSPORTE PARTICULAR TERRESTRE MOTORIZADO DE PERSONAS INTERMUNICIPAL,5500
Trabajando,,,,,No,AGRICULTURA SIEMBRA DE MAIZ YUCA PLATANO,5501
Trabajando,,,,,No,CULTIVO Y VENTA DE YCA,5502
Trabajando,,,,,No,ES UN SUPERMERCADO QUE OFRECE VIENES DE CONSUMO ARTICULOS DE HIGIENE LIMPIEZA ETC,5503
Oficios del hogar,Sí,,,,No,ELABORACION Y VENTA DE EMPANADAS FRITAS,5504
Trabajando,,,,,No,IMPARTIR PUBLICIDAD Y TRANSMITIR EVENTOS DEPORTIVOS POR REDES SOCIALES,5505
Trabajando,,,,,Sí,COMERCIO DE CAFE Y CACAO AL POR MENOR,5506
Trabajando,,,,,No,VENTAS DE PRODUCTOS MISCELANEOS Y DEL HOGAR  DE TIENDA EN TIENDA,5507
Buscando trabajo,No,Sí,,,No,CORTE DE CABELLO PARA HOMBRES,5508
Estudiando,Sí,,,,No,VENTA DE BOLSOS Y ZANDALIAS,5509
Trabajando,,,,,No,TRASLADOS DE GANADOS VACUNOS,5510
Trabajando,,,,,No,VENTA DE VERDURAS Y FRUTAS,5511
Oficios del hogar,No,No,Sí,,No,VENTA VERDURAS Y FRUTAS,5512
Trabajando,,,,,No,TIENE UN TALLER DE EBANISTERIA,5513
Trabajando,,,,,Sí,VENTA DE MATERIALES PARA CARPINTERIA Y MUEBLES,5514
Buscando trabajo,Sí,,,,No,VENTA DE JUGOS Y REFRESCOS,5515
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION TECNICA DE MOTOCICLETAS,5516
Trabajando,,,,,No,SERVICIOS LIMPIEZA DE HOGARES,5517
Trabajando,,,,,No,SERVICIO DE TRANSPORTE VEREDAL,5518
Trabajando,,,,,Sí,REMOCION DE ESCOMBROS Y TRASPORTE DE MATEIALES PARA LA CONSTRUCCION,5519
Trabajando,,,,,No,TRANSPORTE DE MATERIALES DE CONSTRUCION Y ESCOMBROS,5520
Trabajando,,,,,Sí,TRANSPORTE DE MATERIALES DE CONSTRUCCION Y DE ESCOMBROS,5521
Trabajando,,,,,Sí,SERVICIOS DE SALUD Y EMERGENCIAS,5522
Trabajando,,,,,No,SERVICIO DE REPARACION Y MANTENIMIENTO DE APARATOS ELECTRICOS,5523
Trabajando,,,,,No,PREPARACION  CON EXPENDIDO ALA MESA DE PIZZAS,5524
Trabajando,,,,,Sí,CONSULTORIA DE NEGOCIOS Y TECNOLOGIAS DE INFORMACION,5525
Oficios del hogar,No,Sí,,,No,ELABORA PRODUCTOS DE FRUTAS CONGELADO,5526
Trabajando,,,,,No,SERVICIO DE REPARACION Y MATENIMIENTO DE APARATOS DE CONSUMO,5527
Trabajando,,,,,No,RECICLAR,5528
Trabajando,,,,,Sí,AYUDAR A REHABILITAR PERSONAS CON ADICCIONES,5529
Trabajando,,,,,Sí,PRESTADORA DE SERVICIO DE AGUA POTABLE EN MALAMBO,5530
Trabajando,,,,,No,MANTENIMIENTO DE ZONAS VERDES,5531
Estudiando,No,Sí,,,No,VENTA DE BOLIS Y HIELO,5532
Trabajando,,,,,No,CONFECCION DE PRENDAS VARIAS,5533
Trabajando,,,,,Sí,MANTENIMIENTO DE VEHICULOS,5534
Trabajando,,,,,No,COMPRAR Y VENDER VIVERES Y ABARROTES AL POR MENOR,5535
Otra actividad ¿cuál?,No,No,Sí,,No,COMPRA Y VENDE VIVERES Y ABARROTES AL POR MENOR,5536
Trabajando,,,,,No,COSER SACOS PANTALONES COLOCAR BOTONES CAMBIAR CREMALLERAS,5537
Trabajando,,,,,No,CONSTRUCCION DE CASA,5538
Trabajando,,,,,Sí,SERVICIOS MEDICINA GENERAL LABORATORIOS ODONTOLOGIA Y DE URGENCIAS EN LA ZONA URBANA,5539
Trabajando,,,,,Sí,ASISTENCIA MEDICA DOMICILIARIA,5540
Trabajando,,,,,Sí,FABRICACION DE ESTIBAS DE MADERA,5541
Trabajando,,,,,Sí,PUBLICIDAD MEDIANTE CUNAS RADIALES Y ANIMACION Y PRESENTACION DE FIESTAS COMO CUMPLEANOS Y BODAS,5542
Trabajando,,,,,No,GANDERIA CEBA Y ORDENO DE GANADO,5543
Trabajando,,,,,No,GANADERIA ORDENO Y CEBA DE GANADO,5544
Trabajando,,,,,No,SERVICIOS AGRICOLAS EN DIFERENTES CULTIVOS,5545
Trabajando,,,,,No,SIEMBRA DE CULTIVOS DE PAN COGER,5546
Otra actividad ¿cuál?,No,No,Sí,,No,SIEMBRA DE CULTIVOS DE PAN COGER,5547
Trabajando,,,,,No,CULTIVO DE PLATANO MANEJO DE GANADO DE LECHE,5548
Trabajando,,,,,Sí,SERVICIO DE RECOLECCION DE RESIDUOS SOLIDOS Y BARRIDO DE AREAS PUBLICAS,5549
Trabajando,,,,,Sí,SERVICIOS MEDICOS DE CONSULTA EXTERNA SIN INTERNACION,5550
Trabajando,,,,,Sí,FABRICACION  Y VENTA DE CEMENTO,5551
Trabajando,,,,,No,TRANSPORTE INFORMAL PUBLICO DE PASAJEROS EN MOTO,5552
Trabajando,,,,,No,ARREGLO DE CALZADO PARA DAMA Y CABALLERO,5553
Trabajando,,,,,Sí,PRESTACIONES DE SERVICIO DE ALCANTARILLADO Y ASEO,5554
Trabajando,,,,,No,ELABORACION DE MANUALIDADES Y REPOSTERIA,5555
Trabajando,,,,,Sí,MANTENIMIENTO DE ZONAS VERDES,5556
Trabajando,,,,,No,SERVICIOS DE PELUQUERIA CANINA A DOMICILIO,5557
Trabajando,,,,,No,CAJA DE COMPENSACION FAMILIAR,5558
Trabajando,,,,,No,OBRA CIVILES,5559
Trabajando,,,,,Sí,ATENCION A PRIMERA INFANCIA,5560
Trabajando,,,,,No,COMERCIO AL POR MENOR DE COSMETICOS,5561
Trabajando,,,,,No,FABRICANTE Y ENSAMBLADORA DE AUTOMOTORES Y MOTOCICLETAS,5562
Trabajando,,,,,Sí,MOVILIZAR LOS VAGONES QUE CONTIENEN CARBON MINERAL,5563
Trabajando,,,,,No,SERVICIO A DOMICILIO DE CORTES Y TINTE DE PELO,5564
Trabajando,,,,,No,VENTA ESTACIONARIA DE EMPANADAS,5565
Trabajando,,,,,No,SERVICIO DE CONSTRUCCION Y REMODELACION DE EDIFICACION Y VIVIENDAS DE USO RESISTENCIAL,5566
Oficios del hogar,Sí,,,,No,COMERCIO COMPRA Y VENTA AL POR MENOR DE PRODUCTOS PARA LA BELLEZA Y PERFUMERIA POR CATALOGO,5567
Trabajando,,,,,No,CONSTRUCCION MEJORAMIENTO Y MANTENIMIENTO DEL SISTEMA VIAL,5568
Trabajando,,,,,No,VENTA DE CACAO SECO ACTO PARA PROCESAR,5569
Trabajando,,,,,No,VENTA DE CACAO SECO COMO MATERIA PRIMA,5570
Trabajando,,,,,No,EXTRACCION DE CARBON MINERAL,5571
Trabajando,,,,,No,EXTRACCION DE CARBON,5572
Trabajando,,,,,No,VENTA AL POR MENOR DE LECHE EXTRAIDA POR GANADO BOVINO,5573
Trabajando,,,,,No,PRESTA SERVICIO CORTE DE PASTO A RAS DE TIERRA CON GUADANA,5574
Trabajando,,,,,No,VENTA DE PRODUCTOS QUIMICOS,5575
Trabajando,,,,,Sí,CULTIVAR BANANO,5576
Trabajando,,,,,No,VENDE VIVERES AL POR MENOR,5577
